,,物理的問題,需要的問題,金銭的問題,金銭的問題,物理的問題,金銭的がメイン？需要的ではある,金銭的問題,金銭的問題,物理的問題,物理的問題,物理的問題,金銭的問題,価値・金銭的問題,需要的問題,物理的問題,,
,ファクト・背景・何が起きたか,駐車場がない,交通手段として不要になったから,家賃・駐車場が高くてお金がないから,新しい車を買うための資金にしたい,新しい車の納車までに場所を開けたい,車が二台になり、不要なので1台売る,急にまとまった資金が必要,生活コストを見直したい,持ち主がいなくなったので売る,車に乗れなくなったので,免許返納と同時に車を売りたい,維持費を確保できないので売った,事故を起こすのであれば乗りたくない,不要な車を処分したい,旧式車両を処分したい,車が壊れたので売った。,車が古いので売った。
引っ越し,引っ越し,1,1,1,1,,,1,1,,,,,1,1,1,1,1
ライフステージの変化,結婚,1,1,,1,1,1,1,1,,,,1,1,1,1,1,1
,出産・子育て,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1
,子の独立,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1
,親の介護,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
,単身化・老後,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1
,就職,,1,,1,,,1,1,1,1,,1,1,1,1,1,1
生活圏・移動手段の変化,在宅勤務化,1,1,,,1,,,1,,1,,,,1,,1,1
,公共交通が便利な地域へ移動,1,1,,,1,,,1,,1,,,,1,,1,1
けが、病気,けが、病気,,,,,,,1,,1,1,1,,1,1,,,
収入・家計状況の変化,収入減,,,1,1,,,1,1,,,,1,,,,1,1
,固定費見直しフェーズに入った,,,1,1,,,1,1,,,,1,,,,1,1
,物価高騰,,,1,1,,,1,1,,,,1,,,,1,1
情勢的変化,ペーパードライバーになった,,1,,,,,,,1,1,1,,1,,,1,1
,事故のニュースを見た,,1,,,,,,,,1,1,,1,,,1,1
法人の課題,放置車両の発見,,,,,,,,,,,,,,1,,1,1
,社員人数の減少,,,,,,,,,,,,,,1,,1,1
,安全確保の課題,,,,,,,,,,,,,,,1,1,1
